"sex","educ","region","year"
"M","6th grade","New England","1990's"
"M","6th grade","New England","2000's"
"M","6th grade","New England","2010's"
"M","6th grade","New England","2020's"
"M","6th grade","Middle Atlantic","1970's"
"M","6th grade","Middle Atlantic","1980's"
"M","6th grade","Middle Atlantic","1990's"
"M","6th grade","Middle Atlantic","2000's"
"M","6th grade","Middle Atlantic","2010's"
"M","6th grade","Middle Atlantic","2020's"
"M","6th grade","East North Central","1970's"
"M","6th grade","East North Central","1980's"
"M","6th grade","East North Central","1990's"
"M","6th grade","East North Central","2000's"
"M","6th grade","East North Central","2010's"
"M","6th grade","East North Central","2020's"
"M","6th grade","West North Central","1970's"
"M","6th grade","West North Central","1980's"
"M","6th grade","West North Central","1990's"
"M","6th grade","West North Central","2000's"
"M","6th grade","West North Central","2010's"
"M","6th grade","West North Central","2020's"
"M","6th grade","South Atlantic","1970's"
"M","6th grade","South Atlantic","1980's"
"M","6th grade","South Atlantic","1990's"
"M","6th grade","South Atlantic","2000's"
"M","6th grade","South Atlantic","2010's"
"M","6th grade","South Atlantic","2020's"
"M","6th grade","East South Central","1970's"
"M","6th grade","East South Central","1980's"
"M","6th grade","East South Central","1990's"
"M","6th grade","East South Central","2000's"
"M","6th grade","East South Central","2010's"
"M","6th grade","East South Central","2020's"
"M","6th grade","West South Central","1970's"
"M","6th grade","West South Central","1980's"
"M","6th grade","West South Central","1990's"
"M","6th grade","West South Central","2000's"
"M","6th grade","West South Central","2010's"
"M","6th grade","West South Central","2020's"
"M","6th grade","Mountain","1970's"
"M","6th grade","Mountain","1980's"
"M","6th grade","Mountain","1990's"
"M","6th grade","Mountain","2000's"
"M","6th grade","Mountain","2010's"
"M","6th grade","Mountain","2020's"
"M","6th grade","Pacific","1970's"
"M","6th grade","Pacific","1980's"
"M","6th grade","Pacific","1990's"
"M","6th grade","Pacific","2000's"
"M","6th grade","Pacific","2010's"
"M","6th grade","Pacific","2020's"
"M","9th grade","New England","1970's"
"M","9th grade","New England","1980's"
"M","9th grade","New England","1990's"
"M","9th grade","New England","2000's"
"M","9th grade","New England","2010's"
"M","9th grade","New England","2020's"
"M","9th grade","Middle Atlantic","1970's"
"M","9th grade","Middle Atlantic","1980's"
"M","9th grade","Middle Atlantic","1990's"
"M","9th grade","Middle Atlantic","2000's"
"M","9th grade","Middle Atlantic","2010's"
"M","9th grade","Middle Atlantic","2020's"
"M","9th grade","East North Central","1970's"
"M","9th grade","East North Central","1980's"
"M","9th grade","East North Central","1990's"
"M","9th grade","East North Central","2000's"
"M","9th grade","East North Central","2010's"
"M","9th grade","East North Central","2020's"
"M","9th grade","West North Central","1970's"
"M","9th grade","West North Central","1980's"
"M","9th grade","West North Central","1990's"
"M","9th grade","West North Central","2000's"
"M","9th grade","West North Central","2010's"
"M","9th grade","West North Central","2020's"
"M","9th grade","South Atlantic","1970's"
"M","9th grade","South Atlantic","1980's"
"M","9th grade","South Atlantic","1990's"
"M","9th grade","South Atlantic","2000's"
"M","9th grade","South Atlantic","2010's"
"M","9th grade","South Atlantic","2020's"
"M","9th grade","East South Central","1970's"
"M","9th grade","East South Central","1980's"
"M","9th grade","East South Central","1990's"
"M","9th grade","East South Central","2000's"
"M","9th grade","East South Central","2010's"
"M","9th grade","East South Central","2020's"
"M","9th grade","West South Central","1970's"
"M","9th grade","West South Central","1980's"
"M","9th grade","West South Central","1990's"
"M","9th grade","West South Central","2000's"
"M","9th grade","West South Central","2010's"
"M","9th grade","West South Central","2020's"
"M","9th grade","Mountain","1970's"
"M","9th grade","Mountain","1980's"
"M","9th grade","Mountain","1990's"
"M","9th grade","Mountain","2000's"
"M","9th grade","Mountain","2010's"
"M","9th grade","Mountain","2020's"
"M","9th grade","Pacific","1970's"
"M","9th grade","Pacific","1980's"
"M","9th grade","Pacific","1990's"
"M","9th grade","Pacific","2000's"
"M","9th grade","Pacific","2010's"
"M","9th grade","Pacific","2020's"
"M","8th grade","New England","1970's"
"M","8th grade","New England","1980's"
"M","8th grade","New England","1990's"
"M","8th grade","New England","2000's"
"M","8th grade","New England","2010's"
"M","8th grade","New England","2020's"
"M","8th grade","Middle Atlantic","1970's"
"M","8th grade","Middle Atlantic","1980's"
"M","8th grade","Middle Atlantic","1990's"
"M","8th grade","Middle Atlantic","2000's"
"M","8th grade","Middle Atlantic","2010's"
"M","8th grade","Middle Atlantic","2020's"
"M","8th grade","East North Central","1970's"
"M","8th grade","East North Central","1980's"
"M","8th grade","East North Central","1990's"
"M","8th grade","East North Central","2000's"
"M","8th grade","East North Central","2010's"
"M","8th grade","East North Central","2020's"
"M","8th grade","West North Central","1970's"
"M","8th grade","West North Central","1980's"
"M","8th grade","West North Central","1990's"
"M","8th grade","West North Central","2000's"
"M","8th grade","West North Central","2010's"
"M","8th grade","West North Central","2020's"
"M","8th grade","South Atlantic","1970's"
"M","8th grade","South Atlantic","1980's"
"M","8th grade","South Atlantic","1990's"
"M","8th grade","South Atlantic","2000's"
"M","8th grade","South Atlantic","2010's"
"M","8th grade","South Atlantic","2020's"
"M","8th grade","East South Central","1970's"
"M","8th grade","East South Central","1980's"
"M","8th grade","East South Central","1990's"
"M","8th grade","East South Central","2000's"
"M","8th grade","East South Central","2010's"
"M","8th grade","East South Central","2020's"
"M","8th grade","West South Central","1970's"
"M","8th grade","West South Central","1980's"
"M","8th grade","West South Central","1990's"
"M","8th grade","West South Central","2000's"
"M","8th grade","West South Central","2010's"
"M","8th grade","West South Central","2020's"
"M","8th grade","Mountain","1970's"
"M","8th grade","Mountain","1980's"
"M","8th grade","Mountain","1990's"
"M","8th grade","Mountain","2000's"
"M","8th grade","Mountain","2010's"
"M","8th grade","Mountain","2020's"
"M","8th grade","Pacific","1970's"
"M","8th grade","Pacific","1980's"
"M","8th grade","Pacific","1990's"
"M","8th grade","Pacific","2000's"
"M","8th grade","Pacific","2010's"
"M","8th grade","Pacific","2020's"
"M","11th grade","New England","1970's"
"M","11th grade","New England","1980's"
"M","11th grade","New England","1990's"
"M","11th grade","New England","2000's"
"M","11th grade","New England","2010's"
"M","11th grade","New England","2020's"
"M","11th grade","Middle Atlantic","1970's"
"M","11th grade","Middle Atlantic","1980's"
"M","11th grade","Middle Atlantic","1990's"
"M","11th grade","Middle Atlantic","2000's"
"M","11th grade","Middle Atlantic","2010's"
"M","11th grade","Middle Atlantic","2020's"
"M","11th grade","East North Central","1970's"
"M","11th grade","East North Central","1980's"
"M","11th grade","East North Central","1990's"
"M","11th grade","East North Central","2000's"
"M","11th grade","East North Central","2010's"
"M","11th grade","East North Central","2020's"
"M","11th grade","West North Central","1970's"
"M","11th grade","West North Central","1980's"
"M","11th grade","West North Central","1990's"
"M","11th grade","West North Central","2000's"
"M","11th grade","West North Central","2010's"
"M","11th grade","West North Central","2020's"
"M","11th grade","South Atlantic","1970's"
"M","11th grade","South Atlantic","1980's"
"M","11th grade","South Atlantic","1990's"
"M","11th grade","South Atlantic","2000's"
"M","11th grade","South Atlantic","2010's"
"M","11th grade","South Atlantic","2020's"
"M","11th grade","East South Central","1970's"
"M","11th grade","East South Central","1980's"
"M","11th grade","East South Central","1990's"
"M","11th grade","East South Central","2000's"
"M","11th grade","East South Central","2010's"
"M","11th grade","East South Central","2020's"
"M","11th grade","West South Central","1970's"
"M","11th grade","West South Central","1980's"
"M","11th grade","West South Central","1990's"
"M","11th grade","West South Central","2000's"
"M","11th grade","West South Central","2010's"
"M","11th grade","West South Central","2020's"
"M","11th grade","Mountain","1970's"
"M","11th grade","Mountain","1980's"
"M","11th grade","Mountain","1990's"
"M","11th grade","Mountain","2000's"
"M","11th grade","Mountain","2010's"
"M","11th grade","Mountain","2020's"
"M","11th grade","Pacific","1970's"
"M","11th grade","Pacific","1980's"
"M","11th grade","Pacific","1990's"
"M","11th grade","Pacific","2000's"
"M","11th grade","Pacific","2010's"
"M","11th grade","Pacific","2020's"
"M","7th grade","New England","1970's"
"M","7th grade","New England","1980's"
"M","7th grade","New England","1990's"
"M","7th grade","New England","2000's"
"M","7th grade","New England","2010's"
"M","7th grade","New England","2020's"
"M","7th grade","Middle Atlantic","1970's"
"M","7th grade","Middle Atlantic","1980's"
"M","7th grade","Middle Atlantic","1990's"
"M","7th grade","Middle Atlantic","2000's"
"M","7th grade","Middle Atlantic","2010's"
"M","7th grade","Middle Atlantic","2020's"
"M","7th grade","East North Central","1970's"
"M","7th grade","East North Central","1980's"
"M","7th grade","East North Central","1990's"
"M","7th grade","East North Central","2000's"
"M","7th grade","East North Central","2010's"
"M","7th grade","East North Central","2020's"
"M","7th grade","West North Central","1970's"
"M","7th grade","West North Central","1980's"
"M","7th grade","West North Central","1990's"
"M","7th grade","West North Central","2000's"
"M","7th grade","West North Central","2010's"
"M","7th grade","West North Central","2020's"
"M","7th grade","South Atlantic","1970's"
"M","7th grade","South Atlantic","1980's"
"M","7th grade","South Atlantic","1990's"
"M","7th grade","South Atlantic","2000's"
"M","7th grade","South Atlantic","2010's"
"M","7th grade","South Atlantic","2020's"
"M","7th grade","East South Central","1970's"
"M","7th grade","East South Central","1980's"
"M","7th grade","East South Central","1990's"
"M","7th grade","East South Central","2000's"
"M","7th grade","East South Central","2010's"
"M","7th grade","East South Central","2020's"
"M","7th grade","West South Central","1970's"
"M","7th grade","West South Central","1980's"
"M","7th grade","West South Central","1990's"
"M","7th grade","West South Central","2000's"
"M","7th grade","West South Central","2010's"
"M","7th grade","West South Central","2020's"
"M","7th grade","Mountain","1970's"
"M","7th grade","Mountain","1980's"
"M","7th grade","Mountain","1990's"
"M","7th grade","Mountain","2000's"
"M","7th grade","Mountain","2010's"
"M","7th grade","Mountain","2020's"
"M","7th grade","Pacific","1970's"
"M","7th grade","Pacific","1980's"
"M","7th grade","Pacific","1990's"
"M","7th grade","Pacific","2000's"
"M","7th grade","Pacific","2010's"
"M","7th grade","Pacific","2020's"
"M","3 years of collage","New England","1970's"
"M","3 years of collage","New England","1980's"
"M","3 years of collage","New England","1990's"
"M","3 years of collage","New England","2000's"
"M","3 years of collage","New England","2010's"
"M","3 years of collage","New England","2020's"
"M","3 years of collage","Middle Atlantic","1970's"
"M","3 years of collage","Middle Atlantic","1980's"
"M","3 years of collage","Middle Atlantic","1990's"
"M","3 years of collage","Middle Atlantic","2000's"
"M","3 years of collage","Middle Atlantic","2010's"
"M","3 years of collage","Middle Atlantic","2020's"
"M","3 years of collage","East North Central","1970's"
"M","3 years of collage","East North Central","1980's"
"M","3 years of collage","East North Central","1990's"
"M","3 years of collage","East North Central","2000's"
"M","3 years of collage","East North Central","2010's"
"M","3 years of collage","East North Central","2020's"
"M","3 years of collage","West North Central","1970's"
"M","3 years of collage","West North Central","1980's"
"M","3 years of collage","West North Central","1990's"
"M","3 years of collage","West North Central","2000's"
"M","3 years of collage","West North Central","2010's"
"M","3 years of collage","West North Central","2020's"
"M","3 years of collage","South Atlantic","1970's"
"M","3 years of collage","South Atlantic","1980's"
"M","3 years of collage","South Atlantic","1990's"
"M","3 years of collage","South Atlantic","2000's"
"M","3 years of collage","South Atlantic","2010's"
"M","3 years of collage","South Atlantic","2020's"
"M","3 years of collage","East South Central","1970's"
"M","3 years of collage","East South Central","1980's"
"M","3 years of collage","East South Central","1990's"
"M","3 years of collage","East South Central","2000's"
"M","3 years of collage","East South Central","2010's"
"M","3 years of collage","East South Central","2020's"
"M","3 years of collage","West South Central","1970's"
"M","3 years of collage","West South Central","1980's"
"M","3 years of collage","West South Central","1990's"
"M","3 years of collage","West South Central","2000's"
"M","3 years of collage","West South Central","2010's"
"M","3 years of collage","West South Central","2020's"
"M","3 years of collage","Mountain","1970's"
"M","3 years of collage","Mountain","1980's"
"M","3 years of collage","Mountain","1990's"
"M","3 years of collage","Mountain","2000's"
"M","3 years of collage","Mountain","2010's"
"M","3 years of collage","Mountain","2020's"
"M","3 years of collage","Pacific","1970's"
"M","3 years of collage","Pacific","1980's"
"M","3 years of collage","Pacific","1990's"
"M","3 years of collage","Pacific","2000's"
"M","3 years of collage","Pacific","2010's"
"M","3 years of collage","Pacific","2020's"
"M","8 or more years of college","New England","1970's"
"M","8 or more years of college","New England","1980's"
"M","8 or more years of college","New England","1990's"
"M","8 or more years of college","New England","2000's"
"M","8 or more years of college","New England","2010's"
"M","8 or more years of college","New England","2020's"
"M","8 or more years of college","Middle Atlantic","1970's"
"M","8 or more years of college","Middle Atlantic","1980's"
"M","8 or more years of college","Middle Atlantic","1990's"
"M","8 or more years of college","Middle Atlantic","2000's"
"M","8 or more years of college","Middle Atlantic","2010's"
"M","8 or more years of college","Middle Atlantic","2020's"
"M","8 or more years of college","East North Central","1970's"
"M","8 or more years of college","East North Central","1980's"
"M","8 or more years of college","East North Central","1990's"
"M","8 or more years of college","East North Central","2000's"
"M","8 or more years of college","East North Central","2010's"
"M","8 or more years of college","East North Central","2020's"
"M","8 or more years of college","West North Central","1970's"
"M","8 or more years of college","West North Central","1980's"
"M","8 or more years of college","West North Central","1990's"
"M","8 or more years of college","West North Central","2000's"
"M","8 or more years of college","West North Central","2010's"
"M","8 or more years of college","West North Central","2020's"
"M","8 or more years of college","South Atlantic","1970's"
"M","8 or more years of college","South Atlantic","1980's"
"M","8 or more years of college","South Atlantic","1990's"
"M","8 or more years of college","South Atlantic","2000's"
"M","8 or more years of college","South Atlantic","2010's"
"M","8 or more years of college","South Atlantic","2020's"
"M","8 or more years of college","East South Central","1970's"
"M","8 or more years of college","East South Central","1980's"
"M","8 or more years of college","East South Central","1990's"
"M","8 or more years of college","East South Central","2000's"
"M","8 or more years of college","East South Central","2010's"
"M","8 or more years of college","East South Central","2020's"
"M","8 or more years of college","West South Central","1970's"
"M","8 or more years of college","West South Central","1980's"
"M","8 or more years of college","West South Central","1990's"
"M","8 or more years of college","West South Central","2000's"
"M","8 or more years of college","West South Central","2010's"
"M","8 or more years of college","West South Central","2020's"
"M","8 or more years of college","Mountain","1970's"
"M","8 or more years of college","Mountain","1980's"
"M","8 or more years of college","Mountain","1990's"
"M","8 or more years of college","Mountain","2000's"
"M","8 or more years of college","Mountain","2010's"
"M","8 or more years of college","Mountain","2020's"
"M","8 or more years of college","Pacific","1970's"
"M","8 or more years of college","Pacific","1980's"
"M","8 or more years of college","Pacific","1990's"
"M","8 or more years of college","Pacific","2000's"
"M","8 or more years of college","Pacific","2010's"
"M","8 or more years of college","Pacific","2020's"
"M","6 years of college","New England","1970's"
"M","6 years of college","New England","1980's"
"M","6 years of college","New England","1990's"
"M","6 years of college","New England","2000's"
"M","6 years of college","New England","2010's"
"M","6 years of college","New England","2020's"
"M","6 years of college","Middle Atlantic","1970's"
"M","6 years of college","Middle Atlantic","1980's"
"M","6 years of college","Middle Atlantic","1990's"
"M","6 years of college","Middle Atlantic","2000's"
"M","6 years of college","Middle Atlantic","2010's"
"M","6 years of college","Middle Atlantic","2020's"
"M","6 years of college","East North Central","1970's"
"M","6 years of college","East North Central","1980's"
"M","6 years of college","East North Central","1990's"
"M","6 years of college","East North Central","2000's"
"M","6 years of college","East North Central","2010's"
"M","6 years of college","East North Central","2020's"
"M","6 years of college","West North Central","1970's"
"M","6 years of college","West North Central","1980's"
"M","6 years of college","West North Central","1990's"
"M","6 years of college","West North Central","2000's"
"M","6 years of college","West North Central","2010's"
"M","6 years of college","West North Central","2020's"
"M","6 years of college","South Atlantic","1970's"
"M","6 years of college","South Atlantic","1980's"
"M","6 years of college","South Atlantic","1990's"
"M","6 years of college","South Atlantic","2000's"
"M","6 years of college","South Atlantic","2010's"
"M","6 years of college","South Atlantic","2020's"
"M","6 years of college","East South Central","1970's"
"M","6 years of college","East South Central","1980's"
"M","6 years of college","East South Central","1990's"
"M","6 years of college","East South Central","2000's"
"M","6 years of college","East South Central","2010's"
"M","6 years of college","East South Central","2020's"
"M","6 years of college","West South Central","1970's"
"M","6 years of college","West South Central","1980's"
"M","6 years of college","West South Central","1990's"
"M","6 years of college","West South Central","2000's"
"M","6 years of college","West South Central","2010's"
"M","6 years of college","West South Central","2020's"
"M","6 years of college","Mountain","1970's"
"M","6 years of college","Mountain","1980's"
"M","6 years of college","Mountain","1990's"
"M","6 years of college","Mountain","2000's"
"M","6 years of college","Mountain","2010's"
"M","6 years of college","Mountain","2020's"
"M","6 years of college","Pacific","1970's"
"M","6 years of college","Pacific","1980's"
"M","6 years of college","Pacific","1990's"
"M","6 years of college","Pacific","2000's"
"M","6 years of college","Pacific","2010's"
"M","6 years of college","Pacific","2020's"
"M","3rd grade","New England","1970's"
"M","3rd grade","New England","1980's"
"M","3rd grade","New England","1990's"
"M","3rd grade","New England","2000's"
"M","3rd grade","New England","2010's"
"M","3rd grade","New England","2020's"
"M","3rd grade","Middle Atlantic","1970's"
"M","3rd grade","Middle Atlantic","1980's"
"M","3rd grade","Middle Atlantic","1990's"
"M","3rd grade","Middle Atlantic","2000's"
"M","3rd grade","Middle Atlantic","2010's"
"M","3rd grade","Middle Atlantic","2020's"
"M","3rd grade","East North Central","1970's"
"M","3rd grade","East North Central","1980's"
"M","3rd grade","East North Central","1990's"
"M","3rd grade","East North Central","2000's"
"M","3rd grade","East North Central","2010's"
"M","3rd grade","East North Central","2020's"
"M","3rd grade","West North Central","1970's"
"M","3rd grade","West North Central","1980's"
"M","3rd grade","West North Central","1990's"
"M","3rd grade","West North Central","2000's"
"M","3rd grade","West North Central","2010's"
"M","3rd grade","West North Central","2020's"
"M","3rd grade","South Atlantic","1970's"
"M","3rd grade","South Atlantic","1980's"
"M","3rd grade","South Atlantic","1990's"
"M","3rd grade","South Atlantic","2000's"
"M","3rd grade","South Atlantic","2010's"
"M","3rd grade","South Atlantic","2020's"
"M","3rd grade","East South Central","1970's"
"M","3rd grade","East South Central","1980's"
"M","3rd grade","East South Central","1990's"
"M","3rd grade","East South Central","2000's"
"M","3rd grade","East South Central","2010's"
"M","3rd grade","East South Central","2020's"
"M","3rd grade","West South Central","1970's"
"M","3rd grade","West South Central","1980's"
"M","3rd grade","West South Central","1990's"
"M","3rd grade","West South Central","2000's"
"M","3rd grade","West South Central","2010's"
"M","3rd grade","West South Central","2020's"
"M","3rd grade","Mountain","1970's"
"M","3rd grade","Mountain","1980's"
"M","3rd grade","Mountain","1990's"
"M","3rd grade","Mountain","2000's"
"M","3rd grade","Mountain","2010's"
"M","3rd grade","Mountain","2020's"
"M","3rd grade","Pacific","1970's"
"M","3rd grade","Pacific","1980's"
"M","3rd grade","Pacific","1990's"
"M","3rd grade","Pacific","2000's"
"M","3rd grade","Pacific","2010's"
"M","3rd grade","Pacific","2020's"
"M","2nd grade","New England","1970's"
"M","2nd grade","New England","1980's"
"M","2nd grade","New England","1990's"
"M","2nd grade","New England","2000's"
"M","2nd grade","New England","2010's"
"M","2nd grade","New England","2020's"
"M","2nd grade","Middle Atlantic","1970's"
"M","2nd grade","Middle Atlantic","1980's"
"M","2nd grade","Middle Atlantic","1990's"
"M","2nd grade","Middle Atlantic","2000's"
"M","2nd grade","Middle Atlantic","2010's"
"M","2nd grade","Middle Atlantic","2020's"
"M","2nd grade","East North Central","1970's"
"M","2nd grade","East North Central","1980's"
"M","2nd grade","East North Central","1990's"
"M","2nd grade","East North Central","2000's"
"M","2nd grade","East North Central","2010's"
"M","2nd grade","East North Central","2020's"
"M","2nd grade","West North Central","1970's"
"M","2nd grade","West North Central","1980's"
"M","2nd grade","West North Central","1990's"
"M","2nd grade","West North Central","2000's"
"M","2nd grade","West North Central","2010's"
"M","2nd grade","West North Central","2020's"
"M","2nd grade","South Atlantic","1970's"
"M","2nd grade","South Atlantic","1980's"
"M","2nd grade","South Atlantic","1990's"
"M","2nd grade","South Atlantic","2000's"
"M","2nd grade","South Atlantic","2010's"
"M","2nd grade","South Atlantic","2020's"
"M","2nd grade","East South Central","1970's"
"M","2nd grade","East South Central","1980's"
"M","2nd grade","East South Central","1990's"
"M","2nd grade","East South Central","2000's"
"M","2nd grade","East South Central","2010's"
"M","2nd grade","East South Central","2020's"
"M","2nd grade","West South Central","1970's"
"M","2nd grade","West South Central","1980's"
"M","2nd grade","West South Central","1990's"
"M","2nd grade","West South Central","2000's"
"M","2nd grade","West South Central","2010's"
"M","2nd grade","West South Central","2020's"
"M","2nd grade","Mountain","1970's"
"M","2nd grade","Mountain","1980's"
"M","2nd grade","Mountain","1990's"
"M","2nd grade","Mountain","2000's"
"M","2nd grade","Mountain","2010's"
"M","2nd grade","Mountain","2020's"
"M","2nd grade","Pacific","1970's"
"M","2nd grade","Pacific","1980's"
"M","2nd grade","Pacific","1990's"
"M","2nd grade","Pacific","2000's"
"M","2nd grade","Pacific","2010's"
"M","2nd grade","Pacific","2020's"
"M","4th grade","New England","1970's"
"M","4th grade","New England","1980's"
"M","4th grade","New England","1990's"
"M","4th grade","New England","2000's"
"M","4th grade","New England","2010's"
"M","4th grade","New England","2020's"
"M","4th grade","Middle Atlantic","1970's"
"M","4th grade","Middle Atlantic","1980's"
"M","4th grade","Middle Atlantic","1990's"
"M","4th grade","Middle Atlantic","2000's"
"M","4th grade","Middle Atlantic","2010's"
"M","4th grade","Middle Atlantic","2020's"
"M","4th grade","East North Central","1970's"
"M","4th grade","East North Central","1980's"
"M","4th grade","East North Central","1990's"
"M","4th grade","East North Central","2000's"
"M","4th grade","East North Central","2010's"
"M","4th grade","East North Central","2020's"
"M","4th grade","West North Central","1970's"
"M","4th grade","West North Central","1980's"
"M","4th grade","West North Central","1990's"
"M","4th grade","West North Central","2000's"
"M","4th grade","West North Central","2010's"
"M","4th grade","West North Central","2020's"
"M","4th grade","South Atlantic","1970's"
"M","4th grade","South Atlantic","1980's"
"M","4th grade","South Atlantic","1990's"
"M","4th grade","South Atlantic","2000's"
"M","4th grade","South Atlantic","2010's"
"M","4th grade","South Atlantic","2020's"
"M","4th grade","East South Central","1970's"
"M","4th grade","East South Central","1980's"
"M","4th grade","East South Central","1990's"
"M","4th grade","East South Central","2000's"
"M","4th grade","East South Central","2010's"
"M","4th grade","East South Central","2020's"
"M","4th grade","West South Central","1970's"
"M","4th grade","West South Central","1980's"
"M","4th grade","West South Central","1990's"
"M","4th grade","West South Central","2000's"
"M","4th grade","West South Central","2010's"
"M","4th grade","West South Central","2020's"
"M","4th grade","Mountain","1970's"
"M","4th grade","Mountain","1980's"
"M","4th grade","Mountain","1990's"
"M","4th grade","Mountain","2000's"
"M","4th grade","Mountain","2010's"
"M","4th grade","Mountain","2020's"
"M","4th grade","Pacific","1970's"
"M","4th grade","Pacific","1980's"
"M","4th grade","Pacific","1990's"
"M","4th grade","Pacific","2000's"
"M","4th grade","Pacific","2010's"
"M","4th grade","Pacific","2020's"
"M","5th grade","New England","1970's"
"M","5th grade","New England","1980's"
"M","5th grade","New England","1990's"
"M","5th grade","New England","2000's"
"M","5th grade","New England","2010's"
"M","5th grade","New England","2020's"
"M","5th grade","Middle Atlantic","1970's"
"M","5th grade","Middle Atlantic","1980's"
"M","5th grade","Middle Atlantic","1990's"
"M","5th grade","Middle Atlantic","2000's"
"M","5th grade","Middle Atlantic","2010's"
"M","5th grade","Middle Atlantic","2020's"
"M","5th grade","East North Central","1970's"
"M","5th grade","East North Central","1980's"
"M","5th grade","East North Central","1990's"
"M","5th grade","East North Central","2000's"
"M","5th grade","East North Central","2010's"
"M","5th grade","East North Central","2020's"
"M","5th grade","West North Central","1970's"
"M","5th grade","West North Central","1980's"
"M","5th grade","West North Central","1990's"
"M","5th grade","West North Central","2000's"
"M","5th grade","West North Central","2010's"
"M","5th grade","West North Central","2020's"
"M","5th grade","South Atlantic","1970's"
"M","5th grade","South Atlantic","1980's"
"M","5th grade","South Atlantic","1990's"
"M","5th grade","South Atlantic","2000's"
"M","5th grade","South Atlantic","2010's"
"M","5th grade","South Atlantic","2020's"
"M","5th grade","East South Central","1970's"
"M","5th grade","East South Central","1980's"
"M","5th grade","East South Central","1990's"
"M","5th grade","East South Central","2000's"
"M","5th grade","East South Central","2010's"
"M","5th grade","East South Central","2020's"
"M","5th grade","West South Central","1970's"
"M","5th grade","West South Central","1980's"
"M","5th grade","West South Central","1990's"
"M","5th grade","West South Central","2000's"
"M","5th grade","West South Central","2010's"
"M","5th grade","West South Central","2020's"
"M","5th grade","Mountain","1970's"
"M","5th grade","Mountain","1980's"
"M","5th grade","Mountain","1990's"
"M","5th grade","Mountain","2000's"
"M","5th grade","Mountain","2010's"
"M","5th grade","Mountain","2020's"
"M","5th grade","Pacific","1970's"
"M","5th grade","Pacific","1980's"
"M","5th grade","Pacific","1990's"
"M","5th grade","Pacific","2000's"
"M","5th grade","Pacific","2010's"
"M","5th grade","Pacific","2020's"
"M","7 years of college","New England","1970's"
"M","7 years of college","New England","1980's"
"M","7 years of college","New England","1990's"
"M","7 years of college","New England","2000's"
"M","7 years of college","New England","2010's"
"M","7 years of college","New England","2020's"
"M","7 years of college","Middle Atlantic","1970's"
"M","7 years of college","Middle Atlantic","1980's"
"M","7 years of college","Middle Atlantic","1990's"
"M","7 years of college","Middle Atlantic","2000's"
"M","7 years of college","Middle Atlantic","2010's"
"M","7 years of college","Middle Atlantic","2020's"
"M","7 years of college","East North Central","1970's"
"M","7 years of college","East North Central","1980's"
"M","7 years of college","East North Central","1990's"
"M","7 years of college","East North Central","2000's"
"M","7 years of college","East North Central","2010's"
"M","7 years of college","East North Central","2020's"
"M","7 years of college","West North Central","1970's"
"M","7 years of college","West North Central","1980's"
"M","7 years of college","West North Central","1990's"
"M","7 years of college","West North Central","2000's"
"M","7 years of college","West North Central","2010's"
"M","7 years of college","West North Central","2020's"
"M","7 years of college","South Atlantic","1970's"
"M","7 years of college","South Atlantic","1980's"
"M","7 years of college","South Atlantic","1990's"
"M","7 years of college","South Atlantic","2000's"
"M","7 years of college","South Atlantic","2010's"
"M","7 years of college","South Atlantic","2020's"
"M","7 years of college","East South Central","1970's"
"M","7 years of college","East South Central","1980's"
"M","7 years of college","East South Central","1990's"
"M","7 years of college","East South Central","2000's"
"M","7 years of college","East South Central","2010's"
"M","7 years of college","East South Central","2020's"
"M","7 years of college","West South Central","1970's"
"M","7 years of college","West South Central","1980's"
"M","7 years of college","West South Central","1990's"
"M","7 years of college","West South Central","2000's"
"M","7 years of college","West South Central","2010's"
"M","7 years of college","West South Central","2020's"
"M","7 years of college","Mountain","1970's"
"M","7 years of college","Mountain","1980's"
"M","7 years of college","Mountain","1990's"
"M","7 years of college","Mountain","2000's"
"M","7 years of college","Mountain","2010's"
"M","7 years of college","Mountain","2020's"
"M","7 years of college","Pacific","1970's"
"M","7 years of college","Pacific","1980's"
"M","7 years of college","Pacific","1990's"
"M","7 years of college","Pacific","2000's"
"M","7 years of college","Pacific","2010's"
"M","7 years of college","Pacific","2020's"
"M","1st grade","New England","1970's"
"M","1st grade","New England","1980's"
"M","1st grade","New England","1990's"
"M","1st grade","New England","2000's"
"M","1st grade","New England","2010's"
"M","1st grade","New England","2020's"
"M","1st grade","Middle Atlantic","1970's"
"M","1st grade","Middle Atlantic","1980's"
"M","1st grade","Middle Atlantic","1990's"
"M","1st grade","Middle Atlantic","2000's"
"M","1st grade","Middle Atlantic","2010's"
"M","1st grade","Middle Atlantic","2020's"
"M","1st grade","East North Central","1970's"
"M","1st grade","East North Central","1980's"
"M","1st grade","East North Central","1990's"
"M","1st grade","East North Central","2000's"
"M","1st grade","East North Central","2010's"
"M","1st grade","East North Central","2020's"
"M","1st grade","West North Central","1970's"
"M","1st grade","West North Central","1980's"
"M","1st grade","West North Central","1990's"
"M","1st grade","West North Central","2000's"
"M","1st grade","West North Central","2010's"
"M","1st grade","West North Central","2020's"
"M","1st grade","South Atlantic","1970's"
"M","1st grade","South Atlantic","1980's"
"M","1st grade","South Atlantic","1990's"
"M","1st grade","South Atlantic","2000's"
"M","1st grade","South Atlantic","2010's"
"M","1st grade","South Atlantic","2020's"
"M","1st grade","East South Central","1970's"
